id1,id2,id3,R2_N3_cv,R2_N3_fit
1,2,3,-2.777,0.513
1,2,4,-1.882,0.664
1,2,5,-3.376,0.412
1,2,6,-2.052,0.573
1,2,7,-3.133,0.467
1,2,8,-3.06,0.421
1,2,9,-2.824,0.466
1,2,10,-2.908,0.453
1,2,11,-2.281,0.441
1,2,12,-2.407,0.446
1,2,13,-1.912,0.483
1,2,14,-3.318,0.52
1,2,15,-1.244,0.69
1,2,16,-2.358,0.661
1,2,17,-0.842,0.69
1,2,18,-2.49,0.466
1,2,19,-2.38,0.501
1,2,20,-1.647,0.709
1,2,21,-2.225,0.514
1,2,22,-2.146,0.493
1,2,23,-1.369,0.536
1,2,24,-1.475,0.62
1,2,25,-1.952,0.668
1,2,26,-0.456,0.607
1,2,27,-7.78,0.383
1,2,28,-2.086,0.675
1,2,29,-2.789,0.451
1,2,30,-1.85,0.517
1,2,31,-2.208,0.499
1,3,4,-1.554,0.61
1,3,5,-2.258,0.489
1,3,6,-1.616,0.524
1,3,7,-2.81,0.579
1,3,8,-2.504,0.572
1,3,9,-2.245,0.656
1,3,10,-2.171,0.707
1,3,11,-1.578,0.607
1,3,12,-1.436,0.519
1,3,13,-1.32,0.546
1,3,14,-2.277,0.533
1,3,15,-1.004,0.674
1,3,16,-1.952,0.644
1,3,17,-1.492,0.645
1,3,18,-1.739,0.619
1,3,19,-1.986,0.554
1,3,20,-1.532,0.682
1,3,21,-1.93,0.63
1,3,22,-1.989,0.591
1,3,23,-1.18,0.626
1,3,24,-1.311,0.648
1,3,25,-1.448,0.699
1,3,26,-0.284,0.72
1,3,27,-4.93,0.448
1,3,28,-1.595,0.585
1,3,29,-1.904,0.492
1,3,30,-1.571,0.596
1,3,31,-1.734,0.582
1,4,5,-1.139,0.633
1,4,6,-1.063,0.592
1,4,7,-1.399,0.604
1,4,8,-1.232,0.592
1,4,9,-1.236,0.73
1,4,10,-1.184,0.717
1,4,11,-1.046,0.687
1,4,12,-1.058,0.669
1,4,13,-0.982,0.713
1,4,14,-1.571,0.697
1,4,15,-0.505,0.759
1,4,16,-0.672,0.619
1,4,17,-0.753,0.641
1,4,18,-0.597,0.75
1,4,19,-1.286,0.647
1,4,20,-1.236,0.655
1,4,21,-0.854,0.727
1,4,22,-1.103,0.716
1,4,23,-0.822,0.648
1,4,24,-0.885,0.79
1,4,25,-1.483,0.715
1,4,26,-0.039,0.815
1,4,27,-3.212,0.623
1,4,28,-0.976,0.646
1,4,29,-0.928,0.704
1,4,30,-0.751,0.684
1,4,31,-0.976,0.684
1,5,6,-1.401,0.444
1,5,7,-2.698,0.327
1,5,8,-2.308,0.306
1,5,9,-2.299,0.441
1,5,10,-2.059,0.417
1,5,11,-1.764,0.432
1,5,12,-1.959,0.421
1,5,13,-1.829,0.46
1,5,14,-2.875,0.453
1,5,15,-0.452,0.619
1,5,16,-1.91,0.513
1,5,17,-0.562,0.535
1,5,18,-1.794,0.348
1,5,19,-1.839,0.621
1,5,20,-1.452,0.669
1,5,21,-2.09,0.42
1,5,22,-1.589,0.413
1,5,23,-1.094,0.522
1,5,24,-1.364,0.629
1,5,25,-1.486,0.727
1,5,26,0.046,0.614
1,5,27,-9.638,0.287
1,5,28,-1.433,0.521
1,5,29,-1.574,0.306
1,5,30,-1.168,0.423
1,5,31,-1.344,0.406
1,6,7,-2.084,0.432
1,6,8,-1.543,0.433
1,6,9,-1.382,0.639
1,6,10,-1.259,0.596
1,6,11,-0.972,0.639
1,6,12,-1.306,0.545
1,6,13,-0.913,0.575
1,6,14,-1.745,0.533
1,6,15,-0.029,0.721
1,6,16,-1.338,0.575
1,6,17,-0.379,0.601
1,6,18,-1.187,0.474
1,6,19,-1.502,0.575
1,6,20,-1.065,0.652
1,6,21,-0.956,0.545
1,6,22,-1.265,0.538
1,6,23,-0.643,0.645
1,6,24,-0.572,0.718
1,6,25,-1.095,0.733
1,6,26,0.166,0.683
1,6,27,-4.232,0.562
1,6,28,-1.152,0.573
1,6,29,-0.666,0.621
1,6,30,-0.677,0.541
1,6,31,-1.122,0.531
1,7,8,-2.758,0.322
1,7,9,-2.736,0.498
1,7,10,-2.68,0.442
1,7,11,-1.953,0.45
1,7,12,-1.96,0.498
1,7,13,-1.825,0.575
1,7,14,-3.448,0.594
1,7,15,-0.985,0.595
1,7,16,-2.202,0.499
1,7,17,-0.766,0.539
1,7,18,-2.278,0.388
1,7,19,-1.82,0.549
1,7,20,-1.268,0.661
1,7,21,-2.055,0.436
1,7,22,-2.521,0.436
1,7,23,-1.045,0.526
1,7,24,-1.419,0.739
1,7,25,-1.593,0.666
1,7,26,-0.372,0.622
1,7,27,-6.167,0.367
1,7,28,-1.987,0.515
1,7,29,-1.87,0.414
1,7,30,-1.352,0.43
1,7,31,-1.866,0.42
1,8,9,-2.27,0.466
1,8,10,-1.864,0.422
1,8,11,-1.584,0.422
1,8,12,-1.78,0.478
1,8,13,-1.62,0.539
1,8,14,-2.994,0.528
1,8,15,-0.672,0.598
1,8,16,-2.004,0.523
1,8,17,-0.617,0.537
1,8,18,-1.76,0.357
1,8,19,-1.683,0.497
1,8,20,-1.3,0.652
1,8,21,-1.799,0.415
1,8,22,-2.18,0.412
1,8,23,-0.911,0.523
1,8,24,-1.206,0.681
1,8,25,-1.61,0.673
