id1,id2,id3,id4,R2_N4_cv,R2_N4_fit
1,2,3,4,-0.731,0.678
1,2,3,5,-0.411,0.645
1,2,3,6,-0.332,0.685
1,2,3,7,-0.506,0.639
1,2,3,8,-0.337,0.658
1,2,3,9,-0.073,0.655
1,2,3,10,0.042,0.715
1,2,3,11,-0.39,0.668
1,2,3,12,-0.38,0.699
1,2,3,13,-0.251,0.681
1,2,3,14,-0.574,0.642
1,2,3,15,-0.339,0.664
1,2,3,16,-0.473,0.711
1,2,3,17,-0.058,0.695
1,2,3,18,-0.37,0.657
1,2,3,19,-0.219,0.707
1,2,3,20,-0.433,0.641
1,2,3,21,-1.043,0.734
1,2,3,22,-0.048,0.651
1,2,3,23,-0.13,0.718
1,2,3,24,-0.72,0.718
1,2,3,25,-0.497,0.758
1,2,3,26,-1.025,0.674
1,2,3,27,-5.663,0.847
1,2,3,28,-2.29,0.638
1,2,3,29,-0.567,0.634
1,2,3,30,-2.241,0.624
1,2,3,31,-0.676,0.627
1,2,4,5,-0.62,0.685
1,2,4,6,-0.518,0.726
1,2,4,7,-0.415,0.734
1,2,4,8,-0.427,0.68
1,2,4,9,-0.208,0.678
1,2,4,10,-0.143,0.714
1,2,4,11,-0.57,0.707
1,2,4,12,-0.549,0.708
1,2,4,13,-0.372,0.715
1,2,4,14,-0.474,0.702
1,2,4,15,-0.739,0.7
1,2,4,16,-0.622,0.733
1,2,4,17,-0.153,0.717
1,2,4,18,-0.389,0.68
1,2,4,19,-0.363,0.74
1,2,4,20,-0.347,0.685
1,2,4,21,-0.693,0.741
1,2,4,22,-0.194,0.683
1,2,4,23,-0.399,0.719
1,2,4,24,-0.882,0.728
1,2,4,25,-0.525,0.742
1,2,4,26,-0.452,0.726
1,2,4,27,-2.112,0.917
1,2,4,28,-0.868,0.746
1,2,4,29,-0.834,0.703
1,2,4,30,-1.775,0.678
1,2,4,31,-0.714,0.681
1,2,5,6,0.02,0.706
1,2,5,7,-0.334,0.657
1,2,5,8,-0.06,0.662
1,2,5,9,0.068,0.658
1,2,5,10,0.333,0.721
1,2,5,11,-0.1,0.736
1,2,5,12,-0.04,0.673
1,2,5,13,0.055,0.674
1,2,5,14,-0.129,0.657
1,2,5,15,0.053,0.675
1,2,5,16,-0.185,0.722
1,2,5,17,0.16,0.705
