nn R2BBfit R2BB R2MSfit R2MS R2TRfit R2TR base
0 0 -0.138 0 -0.138 0 -0.138 -0.138
1 0.015 -0.167 0.015 -0.165 0.095 -0.106 -0.138
2 0.038 -0.222 0.038 -0.194 0.454 0.13 -0.138
3 0.142 -0.288 0.27 -0.202 0.523 0.106 -0.138
4 0.413 -0.312 0.487 -0.252 0.572 -0.001 -0.138
5 0.439 -0.498 0.729 -0.426 0.59 -0.131 -0.138
6 0.468 -0.617 0.772 -0.55 0.655 -0.242 -0.138
7 0.572 -0.617 0.818 -0.866 0.655 -0.355 -0.138
8 0.713 -0.69 0.839 -0.937 0.663 -0.451 -0.138
9 0.724 -0.922 0.843 -1.138 0.78 -0.573 -0.138
10 0.731 -0.992 0.845 -1.469 0.824 -0.675 -0.138
